INFO 2025-05-18 15:36:13,882 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-18 15:36:13,884 autoreload Waiting for apps ready_event.
DEBUG 2025-05-18 15:36:17,668 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-05-18 15:36:17,704 autoreload Watching dir C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\jazzmin\templates with glob **/*.
DEBUG 2025-05-18 15:36:17,704 autoreload Watching dir D:\UNGDUNGDANENTANG\websitebanhangpython\app\templates with glob **/*.
DEBUG 2025-05-18 15:36:17,705 autoreload Watching dir D:\UNGDUNGDANENTANG\websitebanhangpython\locale with glob **/*.mo.
DEBUG 2025-05-18 15:36:17,705 autoreload Watching dir C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\jazzmin\locale with glob **/*.mo.
DEBUG 2025-05-18 15:36:17,705 autoreload Watching dir D:\UNGDUNGDANENTANG\websitebanhangpython\app\locale with glob **/*.mo.
DEBUG 2025-05-18 15:36:17,839 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-05-18 15:36:18,267 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\xml\etree\ElementPath.py first seen with mtime 1692863952.0
DEBUG 2025-05-18 15:36:18,267 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\_typing\_shape.py first seen with mtime 1709440717.198721
DEBUG 2025-05-18 15:36:18,267 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\psycopg2\__init__.py first seen with mtime 1747045514.059397
DEBUG 2025-05-18 15:36:18,267 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\nn\intrinsic\modules\__init__.py first seen with mtime 1747058808.4495747
DEBUG 2025-05-18 15:36:18,269 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\onnx\_internal\fx\serialization.py first seen with mtime 1747058808.6479719
DEBUG 2025-05-18 15:36:18,269 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\_inductor\runtime\hints.py first seen with mtime 1747058769.5308523
DEBUG 2025-05-18 15:36:18,269 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\postgresql\base.py first seen with mtime 1740334990.5829766
DEBUG 2025-05-18 15:36:18,270 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\jit\frontend.py first seen with mtime 1747058777.2819386
DEBUG 2025-05-18 15:36:18,270 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\ao\nn\intrinsic\qat\modules\linear_relu.py first seen with mtime 1747058769.6309626
DEBUG 2025-05-18 15:36:18,270 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\unittest\loader.py first seen with mtime 1692863952.0
DEBUG 2025-05-18 15:36:18,270 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\redis\credentials.py first seen with mtime 1747074175.773412
DEBUG 2025-05-18 15:36:18,270 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\charset_normalizer\cd.py first seen with mtime 1712772240.843128
DEBUG 2025-05-18 15:36:18,271 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\networkx\algorithms\community\label_propagation.py first seen with mtime 1740480478.8913653
DEBUG 2025-05-18 15:36:18,271 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\fx\experimental\symbolic_shapes.py first seen with mtime 1747058770.2906573
DEBUG 2025-05-18 15:36:18,271 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\version.py first seen with mtime 1747058808.6176696
DEBUG 2025-05-18 15:36:18,271 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_artifact.py first seen with mtime 1747058808.5801516
DEBUG 2025-05-18 15:36:18,272 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\polys\polytools.py first seen with mtime 1746878575.5955045
DEBUG 2025-05-18 15:36:18,272 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\__init__.py first seen with mtime 1709440716.2966871
DEBUG 2025-05-18 15:36:18,272 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\networkx\generators\stochastic.py first seen with mtime 1740480479.3896484
DEBUG 2025-05-18 15:36:18,272 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\ao\nn\quantized\dynamic\modules\conv.py first seen with mtime 1747058769.6672773
DEBUG 2025-05-18 15:36:18,272 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\_dynamo\side_effects.py first seen with mtime 1747058769.1756113
DEBUG 2025-05-18 15:36:18,273 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\ao\nn\quantized\modules\functional_modules.py first seen with mtime 1747058769.678275
DEBUG 2025-05-18 15:36:18,273 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\dill\source.py first seen with mtime 1746871829.3511574
DEBUG 2025-05-18 15:36:18,273 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\distributions\multinomial.py first seen with mtime 1747058770.2221036
DEBUG 2025-05-18 15:36:18,273 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\utils.py first seen with mtime 1740817133.0140054
DEBUG 2025-05-18 15:36:18,273 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\ops\drop_block.py first seen with mtime 1746878651.200338
DEBUG 2025-05-18 15:36:18,273 autoreload File D:\UNGDUNGDANENTANG\websitebanhangpython\websitebanhangpython\__init__.py first seen with mtime 1740678332.639495
DEBUG 2025-05-18 15:36:18,273 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\polys\domains\gmpyintegerring.py first seen with mtime 1746878575.6300142
DEBUG 2025-05-18 15:36:18,274 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\printing\codeprinter.py first seen with mtime 1746878575.7155364
DEBUG 2025-05-18 15:36:18,274 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\cuda\streams.py first seen with mtime 1747058769.931483
DEBUG 2025-05-18 15:36:18,274 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\distributions\transformed_distribution.py first seen with mtime 1747058770.2281184
DEBUG 2025-05-18 15:36:18,274 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\_inductor\cpu_vec_isa.py first seen with mtime 1747058769.3651032
DEBUG 2025-05-18 15:36:18,274 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\polys\domains\domain.py first seen with mtime 1746878575.6230168
DEBUG 2025-05-18 15:36:18,274 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\i18n.py first seen with mtime 1740334990.7794414
DEBUG 2025-05-18 15:36:18,275 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\mpmath\calculus\approximation.py first seen with mtime 1740480431.6057787
DEBUG 2025-05-18 15:36:18,275 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\urllib3\_version.py first seen with mtime 1712772240.2762687
DEBUG 2025-05-18 15:36:18,275 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\polys\agca\__init__.py first seen with mtime 1746878575.606506
DEBUG 2025-05-18 15:36:18,275 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1740334988.9685185
DEBUG 2025-05-18 15:36:18,275 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\nn\modules\loss.py first seen with mtime 1747058808.4725816
DEBUG 2025-05-18 15:36:18,275 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\_functorch\utils.py first seen with mtime 1747058769.3101478
DEBUG 2025-05-18 15:36:18,276 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\quantization\fuser_method_mappings.py first seen with mtime 1747058808.700503
DEBUG 2025-05-18 15:36:18,276 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\chardet\eucjpprober.py first seen with mtime 1747380183.7666981
DEBUG 2025-05-18 15:36:18,276 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\optim\adadelta.py first seen with mtime 1747058808.6589715
DEBUG 2025-05-18 15:36:18,276 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\networkx\generators\line.py first seen with mtime 1740480479.3759317
DEBUG 2025-05-18 15:36:18,276 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\tensor\index_methods.py first seen with mtime 1746878576.0423763
DEBUG 2025-05-18 15:36:18,276 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\mpmath\matrices\eigen.py first seen with mtime 1740480431.6846113
DEBUG 2025-05-18 15:36:18,277 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\optree\registry.py first seen with mtime 1740479886.9550757
DEBUG 2025-05-18 15:36:18,277 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\typing.py first seen with mtime 1692863952.0
DEBUG 2025-05-18 15:36:18,277 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1740334990.5200837
DEBUG 2025-05-18 15:36:18,277 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\nn\qat\modules\conv.py first seen with mtime 1747058808.4920912
DEBUG 2025-05-18 15:36:18,277 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\optree\version.py first seen with mtime 1740479886.9600759
DEBUG 2025-05-18 15:36:18,278 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1740334988.9685185
DEBUG 2025-05-18 15:36:18,278 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1740334990.6298468
DEBUG 2025-05-18 15:36:18,278 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\chardet\langthaimodel.py first seen with mtime 1747380183.7821727
DEBUG 2025-05-18 15:36:18,278 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\matrices\expressions\companion.py first seen with mtime 1746878575.195687
DEBUG 2025-05-18 15:36:18,279 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\distributed\tensor\_ops\_einsum_strategy.py first seen with mtime 1747058770.181487
DEBUG 2025-05-18 15:36:18,279 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\networkx\algorithms\centrality\percolation.py first seen with mtime 1740480478.8239868
DEBUG 2025-05-18 15:36:18,279 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\mpmath\calculus\calculus.py first seen with mtime 1740480431.607778
DEBUG 2025-05-18 15:36:18,279 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\export\_remove_effect_tokens_pass.py first seen with mtime 1747058770.2361195
DEBUG 2025-05-18 15:36:18,279 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\nn\qat\modules\linear.py first seen with mtime 1747058808.4930916
DEBUG 2025-05-18 15:36:18,280 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\nn\utils\_named_member_accessor.py first seen with mtime 1747058808.519015
DEBUG 2025-05-18 15:36:18,280 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\functions\special\zeta_functions.py first seen with mtime 1746878575.083591
DEBUG 2025-05-18 15:36:18,280 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\nturl2path.py first seen with mtime 1692863952.0
DEBUG 2025-05-18 15:36:18,280 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\cuda\amp\autocast_mode.py first seen with mtime 1747058769.9339082
DEBUG 2025-05-18 15:36:18,280 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\networkx\generators\harary_graph.py first seen with mtime 1740480479.3657267
DEBUG 2025-05-18 15:36:18,280 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\datasets\video_utils.py first seen with mtime 1746878651.2638588
DEBUG 2025-05-18 15:36:18,281 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1712772240.2762687
DEBUG 2025-05-18 15:36:18,281 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\_typing\_array_like.py first seen with mtime 1709440717.198721
DEBUG 2025-05-18 15:36:18,281 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\_numpy\_ndarray.py first seen with mtime 1747058769.5609565
DEBUG 2025-05-18 15:36:18,281 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\polys\domains\integerring.py first seen with mtime 1746878575.6310146
DEBUG 2025-05-18 15:36:18,281 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\onnx\symbolic_opset8.py first seen with mtime 1747058808.560214
DEBUG 2025-05-18 15:36:18,281 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\mail\message.py first seen with mtime 1740334990.5357077
DEBUG 2025-05-18 15:36:18,282 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\_core\__init__.py first seen with mtime 1709440717.1830926
DEBUG 2025-05-18 15:36:18,282 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\utilities\misc.py first seen with mtime 1746878576.1592703
DEBUG 2025-05-18 15:36:18,282 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\onnx\_internal\fx\decomposition_table.py first seen with mtime 1747058808.6416616
